baryon_number_density,baryon_density,minimum_pressurec2,maximum_pressurec2,pressurec2,minimum_energy_densityc2,maximum_energy_densityc2,energy_densityc2
9.999999999999998948e+35,1.681821350000000244e+12,8.582389142856329679e+08,1.003255173787979603e+09,9.307470440368062258e+08,1.683101870239777832e+12,1.683274757500754150e+12,1.683188313870265869e+12
4.222222222222222434e+36,7.101023477777779297e+12,7.099385073271470070e+09,7.386328385064193726e+09,7.242856729167831421e+09,7.114160481000202148e+12,7.114368817862170898e+12,7.114264649431186523e+12
7.444444444444444088e+36,1.252022560555555664e+13,1.745802582947547913e+10,1.775722845558698654e+10,1.760762714253123093e+10,1.255153840909943750e+13,1.255175892352824219e+13,1.255164866631383984e+13
1.066666666666666633e+37,1.793942773333333984e+13,3.065009914267236710e+10,3.114919304038025284e+10,3.089964609152630615e+10,1.799342824854494141e+13,1.799398226548672656e+13,1.799370525701583594e+13
1.388888888888888622e+37,2.335862986111111328e+13,4.580986092486574554e+10,4.668010521705228424e+10,4.624498307095900726e+10,2.343898947238039062e+13,2.344011384933330469e+13,2.343955166085684766e+13
1.711111111111111082e+37,2.877783198888889844e+13,6.235323599789587402e+10,6.388057111271812439e+10,6.311690355530699921e+10,2.888761226630051953e+13,2.888954434670183203e+13,2.888857830650117188e+13
2.033333333333333306e+37,3.419703411666667578e+13,7.996460470699298096e+10,8.253983014605279541e+10,8.125221742652288818e+10,3.433882821518261328e+13,3.434185295864978125e+13,3.434034058691619922e+13
2.355555555555555295e+37,3.961623624444445312e+13,9.850904019915411377e+10,1.026141277242753906e+11,1.005615839617147522e+11,3.979228022996514062e+13,3.979673392428146094e+13,3.979450707712330469e+13
2.677777777777777755e+37,4.503543837222223438e+13,1.179651093896647034e+11,1.241589745453887482e+11,1.210620419675267181e+11,4.524769158946712500e+13,4.525396301622212500e+13,4.525082730284462500e+13
3.000000000000000216e+37,5.045464050000000781e+13,1.383792977241349487e+11,1.472843083686752930e+11,1.428318030464051208e+11,5.070484453170846094e+13,5.071337466151754688e+13,5.070910959661300781e+13
3.322222222222222204e+37,5.587384262777778125e+13,1.598373204120161133e+11,1.721270174240968933e+11,1.659821689180564880e+11,5.616356495588309375e+13,5.617484577663108594e+13,5.616920536625709375e+13
3.644444444444444192e+37,6.129304475555556250e+13,1.824473304832546082e+11,1.988354902362892151e+11,1.906414103597719116e+11,6.162371143171899219e+13,6.163828426478242969e+13,6.163099784825071094e+13
3.966666666666666653e+37,6.671224688333334375e+13,2.063310073791319275e+11,2.275620218677567444e+11,2.169465146234443665e+11,6.708516735633670312e+13,6.710362087722752344e+13,6.709439411678210938e+13
4.288888888888888641e+37,7.213144901111112500e+13,2.316195849512811279e+11,2.584600684489509277e+11,2.450398267001160278e+11,7.254783543099392188e+13,7.257080353004460938e+13,7.255931948051926562e+13
4.611111111111111102e+37,7.755065113888889062e+13,2.584527730772817078e+11,2.916842788945219727e+11,2.750685259859018555e+11,7.801163384193614062e+13,7.803979341177653125e+13,7.802571362685632812e+13
4.933333333333332618e+37,8.296985326666667188e+13,2.869792046230203247e+11,3.273919302394199829e+11,3.071855674312201538e+11,8.347649368141742188e+13,8.351056238719598438e+13,8.349352803430670312e+13
5.255555555555555078e+37,8.838905539444445312e+13,3.162091853324205322e+11,3.668932345187285767e+11,3.415512099255745850e+11,8.894235725949962500e+13,8.898309132845365625e+13,8.896272429397664062e+13
5.577777777777777539e+37,9.380825752222223438e+13,3.462458227454838867e+11,4.104233741773067627e+11,3.783345984613953247e+11,9.440917704504075000e+13,9.445736909913575000e+13,9.443327307208825000e+13
5.899999999999999999e+37,9.922745965000001562e+13,3.778127537872022705e+11,4.576174466561412354e+11,4.177151002216718140e+11,9.987691504156473438e+13,9.993339198861023438e+13,9.990515351508748438e+13
6.222222222222221515e+37,1.046466617777777969e+14,4.110154466853823242e+11,5.087510517802932739e+11,4.598832492328377686e+11,1.053455424554317812e+14,1.054111634482355781e+14,1.053783529518336875e+14
6.544444444444443976e+37,1.100658639055555781e+14,4.459657834622667847e+11,5.641167221037041016e+11,5.050412527829854126e+11,1.108150395521960938e+14,1.108906940218860156e+14,1.108528667870410625e+14
