baryon_number_density,baryon_density,minimum_pressurec2,maximum_pressurec2,pressurec2,minimum_energy_densityc2,maximum_energy_densityc2,energy_densityc2,cs2c2,phi,minimum_cs2c2,minimum_phi,maximum_cs2c2,maximum_phi
9.999999999999998948e+35,1.681821350000000244e+12,1.269384909345190763e+09,1.340085663514796019e+09,1.304735286429993391e+09,1.683195599949361572e+12,1.683211942777202637e+12,1.683203771363281982e+12,9.543805310239514891e-04,6.953493250325132102e+00,9.397249604143943520e-04,6.968983154039689154e+00,9.690355825983605403e-04,6.938239720398848398e+00
4.222222222222222434e+36,7.101023477777779297e+12,6.373640856046793938e+09,6.603733030801307678e+09,6.488686943424050331e+09,7.114844392645852539e+12,7.115053107136337891e+12,7.114948749891095703e+12,1.366235102250449576e-03,6.594329253397384960e+00,1.344960543238676995e-03,6.610044736426201162e+00,1.387509731640313966e-03,6.578856225358861387e+00
7.444444444444444088e+36,1.252022560555555664e+13,1.589188284503281975e+10,1.642514211267841530e+10,1.615851247885561943e+10,1.255196266134730664e+13,1.255210426209265234e+13,1.255203346171997852e+13,2.137482117310623465e-03,6.145986953566120903e+00,2.126057503588064685e-03,6.151357630872199778e+00,2.148906952010017600e-03,6.140644741367132120e+00
1.066666666666666633e+37,1.793942773333333984e+13,2.950623110181463242e+10,2.998442004305080795e+10,2.974532557243271637e+10,1.799371657201693359e+13,1.799383142848861719e+13,1.799377400025277734e+13,2.681157759732911983e-03,5.918821819343381030e+00,2.687114308534807074e-03,5.916596677849913277e+00,2.675201300026577682e-03,5.921051863073368615e+00
1.388888888888888622e+37,2.335862986111111328e+13,4.514899748739609528e+10,4.555290356067491150e+10,4.535095052403549957e+10,2.343935726288978906e+13,2.343961154560642969e+13,2.343948440424810938e+13,2.939890686083691720e-03,5.826438659273777354e+00,2.932098009739559155e-03,5.829100662880602357e+00,2.947682910397968897e-03,5.823783835479590110e+00
1.711111111111111082e+37,2.877783198888889844e+13,6.145025966892205811e+10,6.209947869310493469e+10,6.177486918101349640e+10,2.888818485884482422e+13,2.888865282997869922e+13,2.888841884441176172e+13,3.052672877512111783e-03,5.788680377065945848e+00,3.009639630729601077e-03,5.802920753695263834e+00,3.095703714551227212e-03,5.774639521951081100e+00
2.033333333333333306e+37,3.419703411666667578e+13,7.795480740637503052e+10,7.929866516015403748e+10,7.862673628326452637e+10,3.433957193791894531e+13,3.434034722115558984e+13,3.433995957953726562e+13,3.141287594675266914e-03,5.759976269320556064e+00,3.059620290552013747e-03,5.786400148274312372e+00,3.222949052567816546e-03,5.734230329790975134e+00
2.355555555555555295e+37,3.961623624444445312e+13,9.481518110866574097e+10,9.724800029422573853e+10,9.603159070144572449e+10,3.979306306125769531e+13,3.979426090157565625e+13,3.979366198141667188e+13,3.273495512514308300e-03,5.718618035816168010e+00,3.162673944443289593e-03,5.753169738477909689e+00,3.384306808612458362e-03,5.685216130335808415e+00
2.677777777777777755e+37,4.503543837222223438e+13,1.124559829838177338e+11,1.162210196928449860e+11,1.143385013383313599e+11,4.524835373974687500e+13,4.525011257619820312e+13,4.524923315797253906e+13,3.472298595741456564e-03,5.659460143788348496e+00,3.346819687116409786e-03,5.696392298374273189e+00,3.597762628576755758e-03,5.623838868646759970e+00
3.000000000000000216e+37,5.045464050000000781e+13,1.313366683782150269e+11,1.365125078589189911e+11,1.339245881185670013e+11,5.070525053480734375e+13,5.070773305069747656e+13,5.070649179275241406e+13,3.733365846360530912e-03,5.586704728289960897e+00,3.606484879625020470e-03,5.621408694638811987e+00,3.860227885481862242e-03,5.553161361763407022e+00
