poly_degree,sigma,l,sigma_obs,multiplier,logLike
5.000000000000000000e+00,1.450905201999999949e+00,1.205192293000000026e-01,4.468108014000000239e+00,1.120929053000000009e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.442615790000000064e+00,1.699496366000000092e-01,5.295372155999999997e-01,7.396919644999999655e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.552641944999999968e+00,6.853859670999999931e-01,2.411088020999999859e+00,2.198479035000000081e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.195565151000000048e+00,4.260944776000000211e-01,2.680575135000000220e+00,8.200132312000000256e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.043162673999999956e+00,1.674615730000000025e-01,9.344108485999999658e+00,9.215509883999999374e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.124828758999999900e+00,5.839798189999999556e-01,4.002728178000000137e-01,2.099355354000000062e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.228586492000000030e+00,1.798947344000000059e-01,3.909305792000000168e-01,5.416687915999999881e+00,-0.000000000000000000e+00
5.000000000000000000e+00,4.451739284000000296e+00,2.447552514999999929e-01,9.405482277000000835e+00,9.704491890999999981e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.247027375999999910e+00,8.154678803999999559e-01,1.232317611999999896e+00,6.724864474000000314e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.421729045000000191e+00,3.825642135999999804e-01,1.823697032000000107e+00,4.180278637999999880e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.028536399000000046e+00,5.512406595000000076e-01,2.055125333999999970e+00,7.487351720999999571e+00,-0.000000000000000000e+00
5.000000000000000000e+00,4.729113410000000073e+00,5.344930831999999965e-01,7.352015899999999604e+00,2.198649113000000099e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.030076095999999941e+00,4.210355980000000109e-01,2.437180389999999974e+00,1.129552829999999952e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.734597008999999801e+00,5.337083935999999973e-01,1.850827981000000122e+01,1.390748714000000108e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.935267792999999958e+00,2.790264726999999723e-01,1.181064997000000005e+01,9.788513316000000408e-01,-0.000000000000000000e+00
